2026-07-04 16:12:16,123 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:12:16,147 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:12:16,147 | INFO  | LIGO.ligo.registry | Service 'dup' registered successfully. | context={"key": "dup", "contract": "none", "module_path": "modules.polish_greeting"}
2026-07-04 16:12:16,147 | WARNING | LIGO.ligo.registry | Service 'dup' is already registered. | context={"key": "dup"}
2026-07-04 16:12:16,148 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:12:16,148 | WARNING | LIGO.ligo.registry | Service 'nonexistent' is not registered. | context={"key": "nonexistent"}
2026-07-04 16:12:16,150 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:12:16,151 | INFO  | LIGO.ligo.registry | Service 'x' registered successfully. | context={"key": "x", "contract": "none", "module_path": "modules.polish_greeting"}
2026-07-04 16:12:16,152 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:12:16,152 | INFO  | LIGO.ligo.registry | Service 'pl' registered successfully. | context={"key": "pl", "contract": "GreetingServiceProtocol", "module_path": "modules.polish_greeting"}
2026-07-04 16:12:16,153 | INFO  | LIGO.ligo.registry | Service 'en' registered successfully. | context={"key": "en", "contract": "GreetingServiceProtocol", "module_path": "modules.english_greeting"}
2026-07-04 16:12:16,153 | INFO  | LIGO.ligo.registry | List services requested.
2026-07-04 16:12:16,154 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:12:16,154 | INFO  | LIGO.ligo.registry | Service 'greet.test' registered successfully. | context={"key": "greet.test", "contract": "GreetingServiceProtocol", "module_path": "modules.polish_greeting"}
2026-07-04 16:12:16,154 | INFO  | LIGO.ligo.registry | Service 'greet.test' retrieved from registry. | context={"key": "greet.test", "caller": "unknown"}
2026-07-04 16:12:16,156 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:12:16,156 | INFO  | LIGO.ligo.registry | Service 'greeting.pl' registered successfully. | context={"key": "greeting.pl", "contract": "GreetingServiceProtocol", "module_path": "modules.polish_greeting"}
2026-07-04 16:12:16,156 | INFO  | LIGO.ligo.registry | Service 'greeting.en' registered successfully. | context={"key": "greeting.en", "contract": "GreetingServiceProtocol", "module_path": "modules.english_greeting"}
2026-07-04 16:12:16,156 | INFO  | LIGO.ligo.registry | Service 'greeting.pl' retrieved from registry. | context={"key": "greeting.pl", "caller": "unknown"}
2026-07-04 16:12:16,156 | INFO  | LIGO.ligo.registry | Service 'greeting.en' retrieved from registry. | context={"key": "greeting.en", "caller": "unknown"}
2026-07-04 16:17:27,509 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:17:27,529 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:17:27,529 | INFO  | LIGO.ligo.registry | Service 'dup' registered successfully. | context={"key": "dup", "contract": "none", "module_path": "modules.polish_greeting"}
2026-07-04 16:17:27,529 | WARNING | LIGO.ligo.registry | Service 'dup' is already registered. | context={"key": "dup"}
2026-07-04 16:17:27,531 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:17:27,531 | WARNING | LIGO.ligo.registry | Service 'nonexistent' is not registered. | context={"key": "nonexistent"}
2026-07-04 16:17:27,532 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:17:27,532 | INFO  | LIGO.ligo.registry | Service 'x' registered successfully. | context={"key": "x", "contract": "none", "module_path": "modules.polish_greeting"}
2026-07-04 16:17:27,534 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:17:27,534 | INFO  | LIGO.ligo.registry | Service 'pl' registered successfully. | context={"key": "pl", "contract": "GreetingServiceProtocol", "module_path": "modules.polish_greeting"}
2026-07-04 16:17:27,534 | INFO  | LIGO.ligo.registry | Service 'en' registered successfully. | context={"key": "en", "contract": "GreetingServiceProtocol", "module_path": "modules.english_greeting"}
2026-07-04 16:17:27,534 | INFO  | LIGO.ligo.registry | List services requested.
2026-07-04 16:17:27,535 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:17:27,536 | INFO  | LIGO.ligo.registry | Service 'greet.test' registered successfully. | context={"key": "greet.test", "contract": "GreetingServiceProtocol", "module_path": "modules.polish_greeting"}
2026-07-04 16:17:27,536 | INFO  | LIGO.ligo.registry | Service 'greet.test' retrieved from registry. | context={"key": "greet.test", "caller": "unknown"}
2026-07-04 16:17:27,537 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
